sample_id,domain,complexity,condition,l0_norm,l2_norm,reconstruction_error,gini_coefficient,total_energy,run_id
adv_077,adversarial,9,fact,299,66.28781127929688,105.0405502319336,0.21841851313070726,1020.652785897255,20251228_210046
adv_077,adversarial,9,hallucination,254,60.49903869628906,102.82763671875,0.21746717250288428,861.9160912036896,20251228_210046
adv_078,adversarial,8,fact,434,90.68064880371094,108.4417724609375,0.24758203935998435,1629.1973992586136,20251228_210046
adv_078,adversarial,8,hallucination,333,76.51363372802734,121.18890380859375,0.23367593057338798,1204.0588198900223,20251228_210046
adv_079,adversarial,9,fact,548,108.74710083007812,124.51042175292969,0.25742657933787205,2157.9759217500687,20251228_210046
adv_079,adversarial,9,hallucination,727,125.25332641601562,137.17173767089844,0.26045436194147675,2925.1277915239334,20251228_210046
adv_080,adversarial,8,fact,645,122.33052062988281,139.7836151123047,0.26107898187114653,2641.084305882454,20251228_210046
adv_080,adversarial,8,hallucination,536,108.67510986328125,131.26568603515625,0.25422721935590875,2136.4919259548187,20251228_210046
adv_081,adversarial,9,fact,367,87.08602142333984,123.19366455078125,0.2610823000959608,1372.5237936973572,20251228_210046
adv_081,adversarial,9,hallucination,653,114.78626251220703,122.76390838623047,0.2525452037503102,2500.8652778863907,20251228_210046
adv_082,adversarial,8,fact,828,138.2166290283203,143.1342010498047,0.2554741318311713,3535.7222521305084,20251228_210046
adv_082,adversarial,8,hallucination,812,134.25860595703125,138.54373168945312,0.252948952260881,3421.8901785612106,20251228_210046
adv_083,adversarial,9,fact,473,91.006103515625,109.0137710571289,0.2306069701738609,1668.9689362049103,20251228_210046
adv_083,adversarial,9,hallucination,476,87.95835876464844,107.74119567871094,0.23186732729256243,1729.0709019899368,20251228_210046
adv_084,adversarial,8,fact,635,115.94123840332031,128.35427856445312,0.25625530675940333,2525.4974657297134,20251228_210046
adv_084,adversarial,8,hallucination,566,104.93563079833984,124.8930435180664,0.24700901829339594,2172.0097901821136,20251228_210046
adv_085,adversarial,9,fact,491,92.15076446533203,105.39027404785156,0.23286331833196483,1831.8190973997116,20251228_210046
adv_085,adversarial,9,hallucination,569,105.35377502441406,131.21636962890625,0.24786886850409173,2207.9129853248596,20251228_210046
adv_086,adversarial,8,fact,280,69.08338928222656,96.0019760131836,0.2483788126891875,1004.5431660413742,20251228_210046
adv_086,adversarial,8,hallucination,361,71.98820495605469,86.66041564941406,0.22314637148410443,1178.6646987199783,20251228_210046
adv_087,adversarial,9,fact,1301,183.7845001220703,210.02896118164062,0.2585961607731486,5866.199430942535,20251228_210046
adv_087,adversarial,9,hallucination,779,129.3031005859375,133.53338623046875,0.25115641168303426,3176.3003982305527,20251228_210046
adv_088,adversarial,8,fact,331,81.85787200927734,113.58741760253906,0.25554155433589654,1269.140295624733,20251228_210046
adv_088,adversarial,8,hallucination,188,59.24254608154297,95.28951263427734,0.254333458166196,657.4660965204239,20251228_210046
adv_089,adversarial,9,fact,522,100.68978118896484,114.9648208618164,0.2427624762351015,2013.3721953630447,20251228_210046
adv_089,adversarial,9,hallucination,893,137.01629638671875,144.59371948242188,0.2543110948234397,3578.517082095146,20251228_210046
adv_090,adversarial,8,fact,1035,164.37648010253906,171.28045654296875,0.26126042600565547,4435.836235284805,20251228_210046
adv_090,adversarial,8,hallucination,1128,174.10369873046875,186.863525390625,0.26923411735318536,4881.735267877579,20251228_210046
adv_091,adversarial,9,fact,688,117.6579818725586,140.58462524414062,0.25577975625820093,2743.0685592889786,20251228_210046
adv_091,adversarial,9,hallucination,618,97.71782684326172,104.34788513183594,0.21867073143231375,2217.26167845726,20251228_210046
adv_092,adversarial,8,fact,302,63.10455322265625,104.0678939819336,0.2080196559195855,1010.4032562971115,20251228_210046
adv_092,adversarial,8,hallucination,433,90.18897247314453,124.69120025634766,0.2450555109842969,1675.6982395648956,20251228_210046
adv_093,adversarial,9,fact,911,140.69325256347656,151.4751739501953,0.26188943473924553,3732.247275352478,20251228_210046
adv_093,adversarial,9,hallucination,674,108.90447235107422,119.76026153564453,0.23604916840771528,2568.5433852672577,20251228_210046
adv_094,adversarial,8,fact,957,158.85984802246094,166.31837463378906,0.2736586424323155,4277.068457841873,20251228_210046
adv_094,adversarial,8,hallucination,910,154.5397186279297,160.22015380859375,0.2709007287241625,4062.8339698314667,20251228_210046
adv_095,adversarial,9,fact,892,143.28128051757812,151.66868591308594,0.2544068621056277,3690.3244874477386,20251228_210046
adv_095,adversarial,9,hallucination,648,111.36131286621094,127.79085540771484,0.2473975992823063,2503.651269197464,20251228_210046
adv_096,adversarial,8,fact,411,85.18751525878906,110.73397064208984,0.2406527709013957,1518.2410670518875,20251228_210046
adv_096,adversarial,8,hallucination,709,114.41105651855469,120.43954467773438,0.23597863966518595,2727.177950501442,20251228_210046
adv_097,adversarial,9,fact,162,64.64295959472656,84.73668670654297,0.2979543481889271,645.7441108226776,20251228_210046
adv_097,adversarial,9,hallucination,870,135.92881774902344,140.03280639648438,0.2542045680635592,3575.9129478931427,20251228_210046
adv_098,adversarial,8,fact,874,140.3331756591797,153.0069580078125,0.2563081724538203,3604.0346969366074,20251228_210046
adv_098,adversarial,8,hallucination,835,126.65296936035156,129.1265411376953,0.2415130668638219,3225.7374604940414,20251228_210046
adv_099,adversarial,9,fact,622,114.33364868164062,122.35591125488281,0.2518536241372087,2502.4420714378357,20251228_210046
adv_099,adversarial,9,hallucination,1198,165.20553588867188,193.05950927734375,0.257075999549746,5078.157816290855,20251228_210046
adv_100,adversarial,8,fact,692,115.58720397949219,124.4681625366211,0.24570913650767,2728.0556007623672,20251228_210046
adv_100,adversarial,8,hallucination,723,119.69782257080078,127.67863464355469,0.24539616980808865,2889.3185728788376,20251228_210046
adv_101,adversarial,9,fact,740,139.9191131591797,137.5110626220703,0.2625899261244662,3099.8159004449844,20251228_210046
adv_101,adversarial,9,hallucination,401,80.95751190185547,98.04739379882812,0.22832813111245898,1449.1226255893707,20251228_210046
adv_102,adversarial,8,fact,651,131.25225830078125,136.6065216064453,0.27850022454900114,2736.276023030281,20251228_210046
adv_102,adversarial,8,hallucination,713,133.1928253173828,137.65740966796875,0.2704515180717204,2978.978459715843,20251228_210046
adv_103,adversarial,9,fact,795,141.56912231445312,143.16775512695312,0.25931099942464875,3241.268356323242,20251228_210046
adv_103,adversarial,9,hallucination,721,132.99440002441406,128.4058380126953,0.2562353686050889,2942.760794401169,20251228_210046
adv_104,adversarial,8,fact,401,89.06712341308594,111.34159851074219,0.24892252059800724,1497.8175806999207,20251228_210046
adv_104,adversarial,8,hallucination,358,80.71422576904297,106.65248107910156,0.24318974023543438,1301.9465556144714,20251228_210046
adv_105,adversarial,9,fact,770,134.30067443847656,141.3812713623047,0.264401615246316,3253.748899459839,20251228_210046
adv_105,adversarial,9,hallucination,539,97.62789916992188,115.41940307617188,0.23522337685293904,2038.8564854860306,20251228_210046
adv_106,adversarial,8,fact,860,135.51942443847656,133.9182891845703,0.25042573215158304,3541.903228521347,20251228_210046
adv_106,adversarial,8,hallucination,1375,194.12493896484375,223.8932342529297,0.27444298544651335,6192.91484773159,20251228_210046
adv_107,adversarial,9,fact,620,128.2715301513672,130.8885955810547,0.273655397717097,2528.756290435791,20251228_210046
adv_107,adversarial,9,hallucination,613,111.59986877441406,117.2035140991211,0.2463429557067418,2427.035345673561,20251228_210046
adv_108,adversarial,8,fact,273,72.72492218017578,113.0921630859375,0.2589977037520208,1007.3581335544586,20251228_210046
adv_108,adversarial,8,hallucination,421,88.26931762695312,125.22002410888672,0.2445892719603302,1589.3479634523392,20251228_210046
adv_109,adversarial,9,fact,930,152.56936645507812,154.17189025878906,0.2646007660905578,3933.9418137073517,20251228_210046
adv_109,adversarial,9,hallucination,675,115.44084930419922,123.13655853271484,0.25122491227750743,2617.361764907837,20251228_210046
adv_110,adversarial,8,fact,1227,180.13319396972656,206.8011016845703,0.27031738226508395,5603.652424693108,20251228_210046
adv_110,adversarial,8,hallucination,318,73.0042953491211,100.7340316772461,0.24102292979606732,1129.8424332141876,20251228_210046
adv_111,adversarial,9,fact,312,79.40763092041016,116.82025146484375,0.25435508392312545,1181.2796250581741,20251228_210046
adv_111,adversarial,9,hallucination,359,81.7398681640625,115.53107452392578,0.24733160323506187,1347.7858902215958,20251228_210046
adv_112,adversarial,8,fact,980,163.39520263671875,160.1066131591797,0.2755636150808942,4173.109597086906,20251228_210046
adv_112,adversarial,8,hallucination,345,89.54634094238281,116.57725524902344,0.26208390447458085,1287.0260237455368,20251228_210046
adv_113,adversarial,9,fact,605,115.26433563232422,128.98617553710938,0.2538732191580628,2415.801873087883,20251228_210046
adv_113,adversarial,9,hallucination,701,131.3427276611328,132.78562927246094,0.26804883760372644,2893.906739115715,20251228_210046
adv_114,adversarial,8,fact,745,133.7656707763672,141.73699951171875,0.2554046091371611,3053.747968316078,20251228_210046
adv_114,adversarial,8,hallucination,426,84.18428039550781,115.31244659423828,0.22815600085788756,1576.3577109575272,20251228_210046
adv_115,adversarial,9,fact,714,115.51335144042969,125.3314437866211,0.23228076132747355,2816.0413547754288,20251228_210046
adv_115,adversarial,9,hallucination,581,100.82984161376953,111.92431640625,0.22445105365492912,2157.1497794389725,20251228_210046
adv_116,adversarial,8,fact,407,89.33879852294922,103.85623931884766,0.2526921237676052,1517.2778916358948,20251228_210046
adv_116,adversarial,8,hallucination,448,93.38263702392578,102.94281768798828,0.2506454506536655,1648.5974978208542,20251228_210046
adv_117,adversarial,9,fact,574,122.36335754394531,129.28472900390625,0.26425119619391,2356.0102149248123,20251228_210046
adv_117,adversarial,9,hallucination,701,127.01575469970703,133.10983276367188,0.25522250167949245,2822.71424806118,20251228_210046
adv_118,adversarial,8,fact,487,104.81118774414062,121.76180267333984,0.24829286964343167,1888.084656238556,20251228_210046
adv_118,adversarial,8,hallucination,736,141.5645751953125,143.14845275878906,0.27214120600218905,3090.521025776863,20251228_210046
adv_119,adversarial,9,fact,222,65.89136505126953,103.78712463378906,0.267877834918991,813.2256857156754,20251228_210046
adv_119,adversarial,9,hallucination,304,69.19319152832031,101.5638427734375,0.23619193570868258,1044.2078722715378,20251228_210046
adv_120,adversarial,8,fact,889,144.91781616210938,153.2133026123047,0.25466161542819576,3832.3387427330017,20251228_210046
adv_120,adversarial,8,hallucination,869,144.15289306640625,153.78558349609375,0.2589697832855742,3806.2457253932953,20251228_210046
adv_121,adversarial,9,fact,629,113.23846435546875,130.47108459472656,0.2456405539408011,2447.158403158188,20251228_210046
adv_121,adversarial,9,hallucination,759,127.8526840209961,139.992431640625,0.2536007262346469,3058.119962453842,20251228_210046
adv_122,adversarial,8,fact,552,112.8797378540039,131.24710083007812,0.26579767290348233,2149.244447350502,20251228_210046
adv_122,adversarial,8,hallucination,394,82.1023178100586,116.03511047363281,0.22948999831843064,1465.2976896762848,20251228_210046
adv_123,adversarial,9,fact,243,62.6959342956543,98.5135269165039,0.24029410908814852,837.9688003063202,20251228_210046
adv_123,adversarial,9,hallucination,491,106.71663665771484,116.9546127319336,0.2568212216894399,1892.5841155052185,20251228_210046
adv_124,adversarial,8,fact,640,115.80718231201172,123.29678344726562,0.251250244423036,2598.529782772064,20251228_210046
adv_124,adversarial,8,hallucination,799,139.97608947753906,147.425048828125,0.26473006784612263,3369.2358796596527,20251228_210046
adv_125,adversarial,9,fact,326,77.99032592773438,104.3089599609375,0.25142160975061034,1165.1786369085312,20251228_210046
adv_125,adversarial,9,hallucination,999,155.1510467529297,182.58932495117188,0.2613096296529671,4278.143182754517,20251228_210046
adv_126,adversarial,8,fact,517,99.38232421875,127.64918518066406,0.24590557447410477,1999.6147878170013,20251228_210046
adv_126,adversarial,8,hallucination,161,57.05287551879883,95.65248107910156,0.26093815601253634,579.4805806875229,20251228_210046
adv_127,adversarial,9,fact,393,82.04180908203125,106.89025115966797,0.23522143083903302,1445.576941370964,20251228_210046
adv_127,adversarial,9,hallucination,2107,261.9011535644531,435.9179382324219,0.28182063578084837,10290.084097266197,20251228_210046
adv_128,adversarial,8,fact,1670,221.18763732910156,306.98046875,0.27547374873124064,7832.224942088127,20251228_210046
adv_128,adversarial,8,hallucination,1480,194.453369140625,238.1215057373047,0.2693713828914035,6619.42889893055,20251228_210046
adv_129,adversarial,9,fact,545,99.08958435058594,117.12052154541016,0.23857351542850602,2063.258688926697,20251228_210046
adv_129,adversarial,9,hallucination,793,129.6976776123047,143.101806640625,0.2483537622990395,3091.273505449295,20251228_210046
adv_130,adversarial,8,fact,806,130.54031372070312,141.85232543945312,0.24926356690308582,3270.7951126098633,20251228_210046
adv_130,adversarial,8,hallucination,973,146.65211486816406,163.96388244628906,0.24699138911026375,4004.205506801605,20251228_210046
adv_131,adversarial,9,fact,630,119.14519500732422,125.55420684814453,0.2574923700454379,2522.2022564411163,20251228_210046
adv_131,adversarial,9,hallucination,529,102.71446990966797,126.24938201904297,0.24829731892098783,2049.8847465515137,20251228_210046
adv_132,adversarial,8,fact,561,105.13787841796875,118.9237060546875,0.2501704479493867,2218.2701337337494,20251228_210046
adv_132,adversarial,8,hallucination,381,82.25563049316406,103.19315338134766,0.24244597709771387,1383.6239395141602,20251228_210046
adv_133,adversarial,9,fact,754,114.7193603515625,115.57756805419922,0.23385702539141784,2861.71437561512,20251228_210046
adv_133,adversarial,9,hallucination,445,85.84591674804688,112.91240692138672,0.23452857773028857,1636.2256317138672,20251228_210046
adv_134,adversarial,8,fact,600,105.41935729980469,120.8057632446289,0.23738397403898115,2296.721838235855,20251228_210046
adv_134,adversarial,8,hallucination,247,62.559226989746094,110.97054290771484,0.2304706745083589,883.2136968374252,20251228_210046
adv_135,adversarial,9,fact,701,137.1710662841797,140.1907501220703,0.2726494541504183,3046.475534558296,20251228_210046
adv_135,adversarial,9,hallucination,246,61.142059326171875,93.51506805419922,0.21101314485506206,832.4496333599091,20251228_210046
adv_136,adversarial,8,fact,845,136.14414978027344,142.9053497314453,0.2584126199446599,3448.783795595169,20251228_210046
adv_136,adversarial,8,hallucination,718,126.96002197265625,136.95553588867188,0.26296619471356397,2917.5733667612076,20251228_210046
adv_137,adversarial,9,fact,374,86.84736633300781,112.39569091796875,0.2572951216063526,1414.9859747886658,20251228_210046
adv_137,adversarial,9,hallucination,416,91.3967056274414,112.77314758300781,0.24397299026187214,1569.4641149044037,20251228_210046
adv_138,adversarial,8,fact,1106,180.64599609375,197.04159545898438,0.28034354593526545,5116.810817599297,20251228_210046
adv_138,adversarial,8,hallucination,898,158.76133728027344,151.29649353027344,0.2790959487848288,3893.007246494293,20251228_210046
adv_139,adversarial,9,fact,969,159.27932739257812,161.77529907226562,0.2724265678409943,4071.2233213186264,20251228_210046
adv_139,adversarial,9,hallucination,354,83.64800262451172,112.14320373535156,0.2535865751571553,1295.9893724918365,20251228_210046
adv_140,adversarial,8,fact,691,120.62738800048828,132.5010528564453,0.2550320871162115,2734.4887523651123,20251228_210046
adv_140,adversarial,8,hallucination,638,112.04803466796875,131.26559448242188,0.24463852798782515,2523.0082453489304,20251228_210046
adv_141,adversarial,9,fact,242,56.9124870300293,84.5094985961914,0.21776281969274836,795.2144153118134,20251228_210046
adv_141,adversarial,9,hallucination,320,76.97044372558594,98.17728424072266,0.2277169347143908,1172.1323373317719,20251228_210046
adv_142,adversarial,8,fact,481,94.08189392089844,109.21505737304688,0.2419334287354602,1813.7828360795975,20251228_210046
adv_142,adversarial,8,hallucination,427,91.05442810058594,106.2939224243164,0.2441696687825532,1682.11392557621,20251228_210046
adv_143,adversarial,9,fact,255,65.7696533203125,87.37641906738281,0.2525982375643454,851.0239820480347,20251228_210046
