sample_id,domain,complexity,condition,l0_norm,sphericity,elongation,shape_class,eigenvalue_entropy,dimensionality,misalignment_angle,lambda_1,lambda_2,lambda_3,run_id
logic_017,logical,5,hallucination,628,0.7563987970352173,0.8615925908088684,Triaxial,6.1655273,372.9386367037809,80.20252988339779,0.012941953726112843,0.009607352316379547,0.007404597941786051,20251228_220922
logic_018,logical,6,fact,691,0.8756352663040161,0.980858564376831,Triaxial,6.2139945,371.8404710470974,80.30924690386358,0.012660564854741096,0.01218052115291357,0.009707325138151646,20251228_220922
logic_018,logical,6,hallucination,1038,0.8843085169792175,0.972777247428894,Triaxial,6.5420456,520.340353191397,83.02647629980058,0.007774111349135637,0.0073566073551774025,0.006079367361962795,20251228_220922
logic_019,logical,5,fact,363,0.8299330472946167,0.8856774568557739,Triaxial,5.686217,234.27000311096808,76.2077738901148,0.018860220909118652,0.014794419519603252,0.012990708462893963,20251228_220922
logic_019,logical,5,hallucination,455,0.8704114556312561,0.9253129959106445,Triaxial,5.899199,293.3156595266684,79.81041084731939,0.014156480319797993,0.012120837345719337,0.010725177824497223,20251228_220922
logic_020,logical,4,fact,384,0.7331153750419617,0.7514930367469788,Triaxial,5.7438374,251.43851286833734,74.72010651492567,0.019287992268800735,0.010892735794186592,0.010366490110754967,20251228_220922
logic_020,logical,4,hallucination,388,0.7063819169998169,0.8400363326072693,Triaxial,5.740757,243.6686573202395,73.36898606264872,0.021350791677832603,0.015066423453390598,0.010653520934283733,20251228_220922
logic_021,logical,5,fact,517,0.7397161722183228,0.8840818405151367,Triaxial,6.021432,333.32338341309253,75.13102698205266,0.013954879716038704,0.010907143354415894,0.007635830901563168,20251228_220922
logic_021,logical,5,hallucination,581,0.681612491607666,0.6869664788246155,Triaxial,6.10323,345.8766509025836,68.84261404194581,0.017488213256001472,0.008253089152276516,0.008124946616590023,20251228_220922
logic_022,logical,6,fact,857,0.8342633843421936,0.9296595454216003,Triaxial,6.4172473,470.7387139479367,72.11481365517523,0.009197247214615345,0.007948876358568668,0.006401242222636938,20251228_220922
logic_022,logical,6,hallucination,524,0.743037760257721,0.9464616179466248,Triaxial,6.0270395,331.36424275711886,75.13170933873991,0.014155557379126549,0.012680401094257832,0.007815355435013771,20251228_220922
logic_023,logical,4,fact,569,0.7756112217903137,0.886796236038208,Triaxial,6.043706,302.53123170331133,69.9784861915781,0.019995130598545074,0.015724319964647293,0.012028524652123451,20251228_220922
logic_023,logical,4,hallucination,226,0.7895229458808899,0.8258507251739502,Triaxial,5.2335606,148.33439083500122,74.04932159951503,0.02987218089401722,0.02037370577454567,0.018620718270540237,20251228_220922
