sample_id,domain,complexity,l5_fact_l0_norm,l5_fact_reconstruction_error,l5_fact_gini,l5_fact_sphericity,l5_fact_shape_class,l5_fact_dimensionality,l5_hall_l0_norm,l5_hall_reconstruction_error,l5_hall_gini,l5_hall_sphericity,l5_hall_shape_class,l5_hall_dimensionality,l12_fact_l0_norm,l12_fact_reconstruction_error,l12_fact_gini,l12_fact_sphericity,l12_fact_shape_class,l12_fact_dimensionality,l12_hall_l0_norm,l12_hall_reconstruction_error,l12_hall_gini,l12_hall_sphericity,l12_hall_shape_class,l12_hall_dimensionality,l20_fact_l0_norm,l20_fact_reconstruction_error,l20_fact_gini,l20_fact_sphericity,l20_fact_shape_class,l20_fact_dimensionality,l20_hall_l0_norm,l20_hall_reconstruction_error,l20_hall_gini,l20_hall_sphericity,l20_hall_shape_class,l20_hall_dimensionality,centroid_drift_fact,centroid_drift_hall,centroid_drift_diff,axis_twist_fact,axis_twist_hall,axis_twist_diff,stability_fact,stability_hall,stability_diff,entropy_fact,entropy_hall,entropy_diff,cross_layer_consistency_fact,cross_layer_consistency_hall,cross_layer_consistency_diff,run_id
temp_026,temporal,2,1043,127.74617004394531,0.24968228356074174,0.7766759395599365,Triaxial,480.6202886927131,1043,128.08090209960938,0.24962207841797834,0.777052104473114,Triaxial,480.7645638649389,1478,336.07763671875,0.24112865575478448,0.8546469211578369,Triaxial,682.0021190971756,1459,330.2387390136719,0.24102827287659556,0.8571125864982605,Triaxial,678.2342220389379,1130,519.6056518554688,0.20974791595897657,0.7285950779914856,Triaxial,605.5008183492671,1083,500.32330322265625,0.20721239082515064,0.6924154758453369,Triaxial,585.3844805803842,10.032268616737106,10.179717228369626,0.14744861163251954,0.12033130429241841,0.1370561110185936,0.016724806726175198,1.0,1.0,0.0,3.702273368835449,3.7021868228912354,-0.00008654594421386719,0.06931254267692566,0.07002035528421402,-0.0007078126072883606,20251229_021806
temp_027,temporal,4,1049,131.80149841308594,0.24729690781099367,0.778925895690918,Triaxial,485.96894873295724,1052,132.0832061767578,0.2486343526082977,0.7787858843803406,Triaxial,485.8292434558575,1487,338.88848876953125,0.2434446244849684,0.8161309361457825,Triaxial,678.9737933246008,1511,342.6572570800781,0.2436235893326868,0.8208839297294617,Triaxial,684.9575658435128,1296,579.748046875,0.2050900468205057,0.7498672604560852,Triaxial,690.1399251768246,1265,563.1779174804688,0.20647556601585038,0.7447109222412109,Triaxial,677.933728406807,16.669440566407744,16.669904875512266,0.00046430910452244234,0.3753441999249234,0.7935223716539056,0.4181781717289822,1.0,1.0,0.0,3.7072064876556396,3.707919120788574,0.0007126331329345703,0.07254190742969513,0.07406887412071228,-0.0015269666910171509,20251229_021806
temp_028,temporal,3,1163,145.48377990722656,0.25086888429920506,0.7759058475494385,Triaxial,521.8307450701714,1086,136.74142456054688,0.2470722155191727,0.7830427885055542,Triaxial,501.23959540606654,1593,376.3005065917969,0.2428240095908314,0.79610675573349,Triaxial,701.837932858336,1523,340.892578125,0.24612844581449078,0.828543484210968,Triaxial,690.5131256039662,1297,586.8057861328125,0.21384537572023699,0.8223903179168701,Triaxial,673.2936427038071,1265,580.8004760742188,0.20900872402912918,0.7987709641456604,Triaxial,663.2703270444551,29.447738737799362,18.58308980760773,-10.864648930191631,3.394191324589911,1.7141783732259661,-1.680012951363945,1.0,1.0,0.0,3.7235183715820312,3.708279609680176,-0.015238761901855469,0.07648730278015137,0.06919580698013306,0.0072914958000183105,20251229_021806
temp_029,temporal,3,1072,135.07858276367188,0.24822196456359258,0.7742906808853149,Triaxial,496.30151295419483,1075,134.65444946289062,0.24874479450617093,0.7754260897636414,Triaxial,496.6151286225115,1546,355.24072265625,0.24057990217838432,0.8252582550048828,Triaxial,699.5514689238631,1549,359.1365966796875,0.24127318691924393,0.8265154957771301,Triaxial,699.6029546436904,1123,499.5643005371094,0.2002722086943427,0.675550639629364,Triaxial,609.6918198278877,1199,536.875732421875,0.20408812051496827,0.6897367835044861,Triaxial,638.7391156555686,20.719435621196094,20.517230453056197,-0.20220516813989775,1.2773285621085424,0.8045425226480974,-0.47278603946044495,1.0,0.8181818181818182,0.18181818181818177,3.719532012939453,3.7187507152557373,-0.0007812976837158203,0.06537344306707382,0.06697531044483185,-0.0016018673777580261,20251229_021806
temp_030,temporal,2,1020,126.30323028564453,0.24963399414664988,0.775987446308136,Triaxial,472.4102399891572,1023,126.48164367675781,0.2495099174414439,0.7755892872810364,Triaxial,473.41270963875763,1474,330.9749450683594,0.23882337274380916,0.8503323793411255,Triaxial,685.3983317559531,1479,334.51251220703125,0.2390755765319592,0.8435600399971008,Triaxial,685.7891731613994,1009,478.2176818847656,0.20855899273997314,0.692532479763031,Triaxial,559.0965177992242,1042,487.00897216796875,0.20971857105811065,0.6800033450126648,Triaxial,570.2683643923353,8.799218949551802,8.903466452704917,0.1042475031531147,0.5460806799764882,0.6957692013663594,0.1496885213898712,1.0,1.0,0.0,3.703972578048706,3.7037172317504883,-0.00025534629821777344,0.06043728068470955,0.061383653432130814,-0.0009463727474212646,20251229_021806
temp_031,temporal,4,1020,128.4815673828125,0.2489632211219499,0.7778600454330444,Triaxial,477.21204610172396,1017,129.5364227294922,0.24943273472085248,0.7773056030273438,Triaxial,475.5435540140392,1515,344.2223205566406,0.24110633232337753,0.8174364566802979,Triaxial,685.1286090620191,1541,350.987060546875,0.2436398976163039,0.8230193257331848,Triaxial,692.2960630101479,1134,536.1786499023438,0.21230297048225366,0.7016156911849976,Triaxial,610.605904676,1168,537.3171997070312,0.21108951215342509,0.6911920309066772,Triaxial,626.4229979566584,19.628265862293016,19.617740818707787,-0.010525043585229099,1.4297133179592203,1.0697263019310073,-0.35998701602821304,0.8181818181818182,1.0,-0.18181818181818177,3.7173500061035156,3.718940496444702,0.0015904903411865234,0.06955169141292572,0.07133763283491135,-0.0017859414219856262,20251229_021806
temp_032,temporal,3,1074,131.99656677246094,0.24720490539882434,0.7787174582481384,Triaxial,496.1523044254067,1073,131.96124267578125,0.24738414915011986,0.7786051034927368,Triaxial,495.6736641437142,1521,341.4655456542969,0.24414512358047946,0.81939297914505,Triaxial,691.3755430338389,1519,341.3517150878906,0.24318360307541398,0.8230850696563721,Triaxial,691.5260129988148,1317,592.7600708007812,0.21679553690935793,0.7366323471069336,Triaxial,681.4295201544078,1337,610.1416625976562,0.21889849741179535,0.7471809387207031,Triaxial,687.447595823783,11.07060366716402,11.313654930335378,0.24305126317135795,0.9093519218636572,1.0081363156013714,0.0987843937377142,1.0,1.0,0.0,3.7065138816833496,3.7064695358276367,-0.000044345855712890625,0.07769285142421722,0.07614729553461075,0.0015455558896064758,20251229_021806
temp_033,temporal,3,1011,126.31513214111328,0.25201823350410213,0.7715221643447876,Triaxial,468.92112825869185,1012,126.57408142089844,0.2522352636693739,0.7745502591133118,Triaxial,469.1540710082389,1511,349.4714050292969,0.24624763799394422,0.8462890982627869,Triaxial,687.3981262279839,1504,350.34521484375,0.24628276578778685,0.8476315140724182,Triaxial,686.3652252614792,1245,566.4137573242188,0.2141032376036598,0.6904783248901367,Triaxial,649.7063380644263,1208,552.6943359375,0.21166109726249038,0.7027201652526855,Triaxial,637.0961124351506,20.516509399861306,20.21354688191792,-0.302962517943385,1.2866398289089032,1.5683532274876337,0.28171339857873057,1.0,1.0,0.0,3.702197551727295,3.701915979385376,-0.0002815723419189453,0.07512998580932617,0.07428916543722153,0.0008408203721046448,20251229_021806
temp_034,temporal,2,990,125.87654113769531,0.24738680350264564,0.7674351930618286,Triaxial,462.7200079304465,1019,128.6663055419922,0.24883470978515332,0.7700741291046143,Triaxial,473.2934828802549,1399,318.1473083496094,0.24259613742623132,0.8259478807449341,Triaxial,662.2573812627013,1459,334.4068908691406,0.24230456605217832,0.8294340372085571,Triaxial,677.0792276113355,1357,609.81005859375,0.20674481634264885,0.736116349697113,Triaxial,700.7064844476369,1317,609.3092651367188,0.21083305231934002,0.7305184602737427,Triaxial,682.8991016078894,13.798003762183894,17.54915730115793,3.7511535389740356,3.216863234150615,2.1072863310509904,-1.1095769030996245,1.0,0.8181818181818182,0.18181818181818177,3.6971168518066406,3.6997361183166504,0.0026192665100097656,0.06810860335826874,0.07213336229324341,-0.00402475893497467,20251229_021806
temp_035,temporal,4,1034,130.3288116455078,0.2508572689861326,0.7821996808052063,Triaxial,480.0012358816347,1035,130.4124298095703,0.2510731208024928,0.7823712229728699,Triaxial,480.533428876151,1725,403.3353271484375,0.2489339699490991,0.828288197517395,Triaxial,730.9120887831042,1704,402.40826416015625,0.24944030663459493,0.8296095132827759,Triaxial,725.1036485323501,1486,695.7039794921875,0.2144436059987358,0.7733854055404663,Triaxial,724.0011834217175,1540,717.0199584960938,0.21436885752836177,0.7826126217842102,Triaxial,741.2664474988069,22.0618256606693,22.00883947541247,-0.052986185256830964,2.667998085675379,2.5533597822587946,-0.11463830341658454,0.8181818181818182,1.0,-0.18181818181818177,3.715632438659668,3.7153520584106445,-0.0002803802490234375,0.07491489499807358,0.0772252082824707,-0.0023103132843971252,20251229_021806
